Language,English,Norwegian (Norsk),Swedish (Svenska),Old West Norse (Norrønt)
,2D,,,
,3D,,,
,Address,,,
,Alt,,,
,Altitude,,,
,Apply,,,
,Applying,,,
,Arm,,,
,Arrived,,,
,Auto-zoom,,,
,Avoid,,,
,Axle,,,
,Basemap,,,
,Battery,,,
,Bicycle,,,
,Bind,,,
,Blank,,,
,Bogie,,,
,Break,,,
,Breaks,,,
,Build,,,
,Cancel,,,
,Capacity,,,
,Car,,,
,Check,,,
,Clear,,,
,Close,,,
,Compass,,,
,Continue,,,
,Could,,,
,Country,,,
,Country-scale,,,
,Currently,,,
,Custom,,,
,Delete,,,
,Deleted,,,
,DEM,,,
,Desired,,,
,Destination,,,
,Diagnostic,,,
,Diagnostics,,,
,Distance,,,
,Documents/debug,,,
,Download,,,
,Downloading,,,
,Drive,,,
,East,,,
,Eco,,,
,Electric,,,
,Enter,,,
,ETA,,,
,EV,,,
,Example,,,
,Experimental,,,
,Export,,,
,Extract,,,
,Extracting,,,
,Failed,,,
,Ferries,,,
,Finished,,,
,Follow,,,
,From,,,
,Fuel,,,
,Gallons,,,
,Geofabrik,,,
,GLES,,,
,GPS,,,
,GPU,,,
,Height,,,
,Hiking,,,
,Hillshade,,,
,Hours,,,
,Imperial,,,
,Index,,,
,kg,,,
,km,,,
,kWh,,,
,Layers,,,
,Legal,,,
,Length,,,
,Liberty,,,
,Liters,,,
,Mandatory,,,
,Map,,,
,MapLibre,,,
,Mapterhorn,,,
,Max,,,
,Metric,,,
,mi,,,
,Miles,,,
,min,,,
,Minutes,,,
,Mobile,,,
,Mode,,,
,Modes,,,
,Motor,,,
,Motorcycle,,,
,Motorways,,,
,Multi-day,,,
,N-up,,,
,Networks,,,
,Next,,,
,Nm,,,
,No,,,
,Nord-Norge,,,
,North,,,
,Norway,,,
,Off,,,
,Official,,,
,Offline,,,
,Ok,,,
,On,,,
,Online,,,
,Open,,,
,OpenFreeMap,,,
,OpenStreetMap,,,
,Optional,,,
,OSM,,,
,Ostlandet,,,
,Passed,,,
,Path,,,
,Pause,,,
,Paused,,,
,PBF,,,
,Pending,,,
,Place,,,
,Plan,,,
,Planet,,,
,PMTiles,,,
,POI,,,
,Primary,,,
,Profile,,,
,Protomaps,,,
,Radius,,,
,Range,,,
,Recenter,,,
,Refresh,,,
,Region,,,
,Reminder,,,
,Require,,,
,Required,,,
,Rest,,,
,Restore,,,
,Restoring,,,
,Resume,,,
,Resuming,,,
,Road,,,
,Route,,,
,Run,,,
,Save,,,
,Saved,,,
,Search,,,
,Searching,,,
,Searching...,,,
,Secondary,,,
,Seconds,,,
,Select,,,
,Services,,,
,Set,,,
,Settings,,,
,Simulate,,,
,SIMULATING,,,
,Simulation,,,
,SoC,,,
,South,,,
,Splash,,,
,Split,,,
,Start,,,
,Status,,,
,Stop,,,
,Street,,,
,Sørlandet,,,
,Tank,,,
,Terrain,,,
,Tilt,,,
,Time,,,
,To,,,
,Toll,,,
,Tolls,,,
,Tools,,,
,Torque,,,
,Travel,,,
,Trip,,,
,Truck,,,
,Trunk,,,
,Trøndelag,,,
,Unavailable,,,
,Unit,,,
,Units,,,
,Update,,,
,Updates,,,
,Upload,,,
,URL,,,
,Use,,,
,Used,,,
,Vehicle,,,
,Vestlandet,,,
,Via,,,
,Vulkan,,,
,Weekly,,,
,West,,,
,Wh,,,
,Wheel,,,
,Width,,,
,Writes,,,
,Yes,,,
,Zoom,,,
,Østlandet,,,
,3D (experimental),,,
,3D requires Vulkan renderer,,,
,3D unavailable on this device; using 2D Liberty,,,
,Alt --,,,
,Alt {meters} m,,,
,Apply pending,,,
,Apply pending OSM update,,,
,Applying OSM update (user confirmed)...,,,
,Arm +1 h exceptional extension,,,
,Arrived at destination,,,
,Avoid ferries,,,
,Avoid motorways/trunk/primary,,,
,Avoid toll roads,,,
,Axle weight (kg),,,
,Basemap (PMTiles) — range-extract from Protomaps planet,,,
,Battery capacity (kWh),,,
,Battery capacity (Wh),,,
,Break in {km} km,,,
,Break in {minutes} min,,,
,Break in {mi} mi,,,
,Break reminders off,,,
,Check for OSM updates,,,
,Clear vias (${viaPoints.size}),,,
,Clear vias ({count}),,,
,Continue from last stop,,,
,Could not delete saved route,,,
,Country-scale extracts may be slow or fail on low-RAM devices,,,
,Currently on $street,,,
,Currently on {street},,,
,Delete planned route,,,
,Delete route,,,
,Desired hours between breaks,,,
,Diagnostic logging,,,
,Download basemap (PMTiles),,,
,Download region + build place index,,,
,Download scope (Geofabrik),,,
,Download terrain DEM (Mapterhorn),,,
,Drive / vehicle settings,,,
,Drive settings saved,,,
,Eco mode,,,
,Eco routing,,,
,Electric car,,,
,Electric car battery,,,
,Electric cycle,,,
,Electric cycle specs,,,
,Enter a Geofabrik path (e.g. europe/norway/ostlandet).,,,
,Enter valid battery capacity (kWh),,,
,"Enter valid battery Wh, torque Nm, and wheel inches",,,
,Enter valid break hours and rest minutes,,,
,ETA --,,,
,ETA off,,,
,ETA {minutes} min,,,
,Example default 60 kWh (mid-size EV pack). Used for route range estimate only — not a measured SoC.,,,
,Export diagnostic log,,,
,Follow official hiking/cycling networks,,,
,From: ${fromPoint?.name ?:,,,
,Fuel added,,,
,Fuel added ($unit),,,
,Fuel tank capacity,,,
,Fuel tank capacity ($unit),,,
,Geofabrik path,,,
,GPS unavailable,,,
,Height (m),,,
,Legal assist caps (EU pedelec ~250 W / 25 km/h; US Class 1–3 up to 750 W / 20–28 mph) are not enforced — enter your bike's real specs for planning only.,,,
,Length (m),,,
,Mandatory break after (hours),,,
,Map / display settings,,,
,Map layers: $mapLayerCount,,,
,Map layers: {count},,,
,Map settings saved,,,
,Map tilt {degrees} deg,,,
,Max bogie weight (kg),,,
,Mobile home,,,
,Motor torque (Nm),,,
,Multi-day plan (${days.size} days),,,
,Next break shown as,,,
,No last stop saved yet,,,
,No region PBF — download Ostlandet in Tools first,,,
,No saved routes,,,
,No simulation samples on route,,,
,"OSM updates (Geofabrik) — opt-in, never silent",,,
,Passed {viaName} — continuing,,,
,Plan route,,,
,Planet PMTiles URL (blank = latest Protomaps),,,
,PMTiles cancel requested,,,
,PMTiles paused,,,
,PMTiles resuming…,,,
,POI search radius (active profile),,,
,Profile settings saved,,,
,Region in country,,,
,Require path / trail link,,,
,Rest time (minutes),,,
,Restore staged offline maps,,,
,Restoring staged offline maps…,,,
,Road link required: on,,,
,Route planning closed,,,
,"Run Check for OSM updates first, or already up to date.",,,
,Saved routes,,,
,Select a Geofabrik path first.,,,
,Set a To destination first,,,
,Set From and To first,,,
,Simulate route,,,
,Simulation finished,,,
,Split break 15+30 min,,,
,This extract has no Geofabrik binding. Bind a region or re-download.,,,
,Tilt locked at 0 without Vulkan,,,
,Tools settings saved,,,
,Travel mode,,,
,Trip ETA,,,
,Unavailable on this GPU path,,,
,Use GPS,,,
,Vehicle limits,,,
,Weekly OSM update check is due (opt-in reminder — nothing was downloaded).,,,
,Weekly update reminder (no auto-download),,,
,Wheel diameter (inches),,,
,Width (m),,,
,Writes a dated session log under Documents/debug,,,
